Set code,Version from:,Name,ZNR List,KHM List,STX List,MH2 List,AFR List,MID List,VOW List,NEO List,SNC List,CLB List
ODY,Odyssey,"Aboshan, Cephalid Emperor",,,,,,,,1,,
HOU,Hour of Devastation,Abrade,1,1,1,,,,,,,
GK1,Guilds of Ravnica Guild Kits,Abrupt Decay,,,,,,1,1,1,1,
CNS,Conspiracy,Academy Elite,,,1,1,1,1,1,,,
CMD,Commander,Acorn Catapult,1,1,1,1,1,1,,,,
CSP,Coldsnap,Adarkar Valkyrie,,1,,,,,,,,
XLN,Ixalan,Admiral Beckett Brass,,,,,,,,,1,
DST,Darksteel,Aether Vial,,,,1,,,,,,
PO2,Portal Second Age,Air Elemental,,,,,1,1,1,1,,
EVG,Duel Decks Anthology,Akki Coalflinger,,,,,,,,1,,
FUT,Future Sight,Akroma's Memorial,1,1,1,1,1,1,,,,
5DN,Fifth Dawn,All Suns' Dawn,,,,,,1,1,1,,
PLS,Planeshift,Alpha Kavu,1,1,1,1,,,,,,
SOI,Shadows over Innistrad,Always Watching,,,,1,1,1,1,1,,
LRW,Lorwyn,Amoeboid Changeling,1,1,1,1,1,1,,,,
THB,Theros Beyond Death,"Anax, Hardened in the Forge",1,,,,,,,,,
ONS,Onslaught,Ancestor's Prophet,1,1,1,1,1,,,,,
PO2,Portal Second Age,Ancient Craving,1,1,1,1,1,1,,,,
MRD,Mirrodin,Ancient Den,,,,1,1,1,1,1,,
TMP,Tempest,Ancient Tomb,,,,,,1,1,1,,
C15,Commander 2015,Angel of Serenity,,,,1,1,1,1,1,1,
TSP,Time Spiral,Angel's Grace,1,1,1,1,1,1,,,,
WAR,War of the Spark,"Angrath, Captain of Chaos",1,1,,,,,,,,
EMA,Eternal Masters,Animate Dead,,,,1,1,1,1,,,
AKH,Amonkhet,Anointed Procession,,,,,,,,1,1,
AKH,Amonkhet,Anointer Priest,1,1,1,,,,,,,
M19,Core Set 2019,"Arcades, the Strategist",,,,,1,1,1,1,,
JUD,Judgment,Arcane Teachings,,,1,1,1,1,1,,,
DST,Darksteel,Arcbound Overseer,,,,1,1,1,1,1,,
DST,Darksteel,Arcbound Slith,1,1,1,1,1,,,,,
BNG,Born of the Gods,Archetype of Aggression,,,,,,1,1,1,,
ARB,Alara Reborn,Architects of Will,,,,,,,,1,,
ZEN,Zendikar,Archive Trap,,,1,1,1,1,1,,,
MH1,Modern Horizons,Arcum's Astrolabe,1,1,,,,,,,,
WAR,War of the Spark,"Arlinn, Voice of the Pack",,,,,,1,1,1,,
VIS,Visions,Army Ants,1,1,,,,,,,,
SLX,Universes Within,"Arvinox, the Mind Flail",,,,,,,,,1,
MH2,Modern Horizons 2,Asmoranomardicadaistinaculdacar,,,,,,,,,1,
POR,Portal,Assassin's Blade,,,,,1,1,1,1,,
IMA,Iconic Masters,Assault Formation,,,,,,,1,1,,
INV,Invasion,Aura Shards,,,,1,1,1,1,1,,
PLC,Planar Chaos,Aven Riftwatcher,1,1,1,1,1,1,,,,
STH,Stronghold,Awakening,1,1,1,1,,,,,,
DDD,Duel Decks: Garruk vs. Liliana,Bad Moon,,,,,,,1,1,,
ISD,Innistrad,Balefire Dragon,,,,,1,1,1,,,
